name,genotype,symbol,fill
exon1,exon1,exon1,black
exon2,exon2,exon2,black
exon3,exon3,exon3,black
exon4,exon4,exon4,black
exon5,exon5,exon5,black
exon6,exon6,exon6,black
exon7,exon7,exon7,black
PROPEP4.1,PROPEP4.1,PROPEP4.1,blue
PROPEP4.2,PROPEP4.2,PROPEP4.2,blue
PROPEP4.3,PROPEP4.3,PROPEP4.3,blue
PROPEP4.4,PROPEP4.4,PROPEP4.4,blue
PROPEP4.5,PROPEP4.5,PROPEP4.5,blue
PROPEP4.6,PROPEP4.6,PROPEP4.6,blue
PROPEP5,PROPEP5,PROPEP5,red3
Truncated,Truncated,Truncated,red
PROPEP1,PROPEP1,PROPEP1,orange
PROPEP3,PROPEP3,PROPEP3,yellow
PROPEP3.2,PROPEP3.2,PROPEP3.2,yellow
PROPEP2,PROPEP2,PROPEP2,green